@relation D02_k03_N60000-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute X0 numeric
@attribute X1 numeric
@attribute class {c0,c1,c2}
@attribute FoundClusters {Cluster_0,Cluster_1,Cluster_2}

@data
0.325515,0.38243,c0,Cluster_2
0.238744,0.380598,c0,Cluster_2
0.237859,0.264829,c0,Cluster_2
0.212873,0.457174,c0,Cluster_1
0.261078,0.482758,c0,Cluster_1
0.289,0.3435,c0,Cluster_2
0.263475,0.339532,c0,Cluster_2
0.294434,0.55773,c0,Cluster_0
0.268234,0.451531,c0,Cluster_1
0.288387,0.380461,c0,Cluster_2
0.236466,0.767541,c0,Cluster_0
0.286064,0.298182,c0,Cluster_2
0.289321,0.320302,c0,Cluster_2
0.231754,0.468875,c0,Cluster_1
0.258155,0.301291,c0,Cluster_2
0.261962,0.282914,c0,Cluster_2
0.308207,0.644749,c0,Cluster_0
0.247323,0.487772,c0,Cluster_1
0.201686,0.377712,c0,Cluster_2
0.211142,0.376579,c0,Cluster_2
0.274461,0.460569,c0,Cluster_1
0.282154,0.533521,c0,Cluster_2
0.359247,0.12648,c0,Cluster_2
0.252928,0.2521,c0,Cluster_2
0.258593,0.389412,c0,Cluster_2
0.334273,0.682669,c0,Cluster_0
0.287923,0.602595,c0,Cluster_0
0.295728,0.34235,c0,Cluster_2
0.250752,0.542488,c0,Cluster_2
0.288196,0.502718,c0,Cluster_1
0.240293,0.498249,c0,Cluster_1
0.266292,0.48686,c0,Cluster_1
0.305747,0.56619,c0,Cluster_0
0.274642,0.486607,c0,Cluster_1
0.248872,0.50369,c0,Cluster_1
0.277975,0.436466,c0,Cluster_1
0.352037,0.409334,c0,Cluster_2
0.247695,0.477335,c0,Cluster_1
0.26168,0.459001,c0,Cluster_1
0.305565,0.320235,c0,Cluster_2
0.284909,0.571089,c0,Cluster_0
0.219077,0.578428,c0,Cluster_0
0.262158,0.526656,c0,Cluster_1
0.325494,0.395597,c0,Cluster_2
0.249211,0.291491,c0,Cluster_2
0.285299,0.513116,c0,Cluster_1
0.255203,0.444434,c0,Cluster_1
0.25285,0.465101,c0,Cluster_1
0.300115,0.662214,c0,Cluster_0
0.285733,0.426465,c0,Cluster_1
0.241353,0.543699,c0,Cluster_2
0.221428,0.570577,c0,Cluster_2
0.24854,0.213704,c0,Cluster_2
0.269652,0.304334,c0,Cluster_2
0.306111,0.583272,c0,Cluster_0
0.278182,0.473144,c0,Cluster_1
0.310439,0.648005,c0,Cluster_0
0.262726,0.478806,c0,Cluster_1
0.262655,0.529869,c0,Cluster_2
0.280725,0.521347,c0,Cluster_1
0.250247,0.52007,c0,Cluster_1
0.256873,0.592531,c0,Cluster_0
0.285239,0.382795,c0,Cluster_2
0.233953,0.576826,c0,Cluster_0
0.228459,0.237724,c0,Cluster_2
0.318238,0.367674,c0,Cluster_2
0.310981,0.36642,c0,Cluster_2
0.332504,0.117225,c0,Cluster_0
0.256967,0.656777,c0,Cluster_0
0.298242,0.553943,c0,Cluster_0
