@relation test

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute class {c0,c1,c2,c3,c4}

@data
1.561581,-0.608183,-1.091228,-31.227007,-55.914161,c0
-1.658322,-1.882164,0.059255,-20.420566,14.385475,c0
0.445232,-0.955812,-0.335147,-49.562527,30.567547,c0
0.957185,-0.189636,0.008864,21.324998,-31.288321,c0
-1.160869,2.830732,0.355468,-68.024352,22.75146,c0
-1.162962,-1.304934,0.163741,-24.889555,-66.636499,c0
-0.381399,-1.496829,1.032441,86.711878,-41.447903,c0
0.332482,-2.224188,-0.650312,-96.754436,-33.021542,c0
0.000742,0.089576,0.235926,37.05053,129.642379,c0
-2.893729,-0.657577,-1.771988,-24.220256,-27.292017,c0
1.829352,2.07285,0.412317,67.891027,32.545752,c0
-0.966084,-0.724097,0.821078,21.032498,23.297463,c0
-1.04388,0.426038,-0.249019,16.217305,47.862105,c0
1.03273,0.006277,0.322084,-39.078647,23.731472,c0
0.108179,-0.125658,2.372443,-18.396762,-40.878981,c0
0.239291,-0.390003,0.075573,47.583612,-58.178194,c0
0.320147,1.07648,-1.692503,57.100689,-18.769814,c0
0.679705,1.560951,-0.490605,-38.560765,-71.011975,c0
0.332068,0.558799,-0.588021,-2.725545,-32.999004,c0
0.130039,0.785042,1.890198,17.267731,-10.748392,c0
-1.011473,0.831898,-1.620613,53.595524,-39.586299,c0
-2.114852,-0.146277,-1.305558,48.418402,59.263504,c0
0.114488,0.201863,1.100673,88.165673,-17.902393,c0
0.252423,-0.36019,0.7084,9.61232,31.61517,c0
-0.73955,0.620894,-0.536968,63.397496,16.511555,c0
-0.604928,-1.237699,1.12771,-70.283815,-95.01783,c0
1.339117,-0.73995,1.117229,-37.557443,88.76321,c0
-2.976373,-0.534099,1.841647,36.389329,46.168629,c0
-0.712173,0.945606,-1.552163,-16.306957,-24.876407,c0
-0.357259,1.875066,0.867716,17.899536,-79.861536,c0
0.390448,0.207868,0.77313,-35.967607,-63.786429,c0
-0.21717,1.163576,0.359686,49.175103,-70.095385,c0
-0.756116,-0.87668,-1.458395,-47.637477,18.536176,c0
0.318767,-0.693144,-1.462362,-6.660315,2.418216,c0
-0.696301,0.178544,0.962911,-51.399428,-34.989993,c0
0.348297,-0.669172,-1.204881,-58.447902,16.639564,c0
1.380039,0.066484,-0.154457,-22.854022,46.990057,c0
1.60654,1.171051,-1.821357,16.958849,7.089024,c0
-1.488679,-0.29944,1.109523,-64.270595,17.584761,c0
-0.383606,-0.497362,-1.924432,135.895856,60.873122,c0
-1.078309,1.145033,-0.124548,66.257418,11.709352,c0
-0.074892,0.104415,-0.141917,36.473077,28.344334,c0
-0.260441,-0.850444,0.656891,-35.953982,66.239049,c0
0.731409,-0.468559,0.548378,-65.624623,37.762996,c0
0.635671,0.886104,-0.104653,-51.538702,3.695381,c0
1.696486,-0.662445,0.089458,-15.038295,43.545512,c0
-1.211382,0.635255,-0.345547,32.173504,20.174372,c0
1.836301,-1.068345,-0.514598,46.480858,32.575797,c0
-0.15611,1.396449,-0.843125,-2.057239,-140.397492,c0
-1.134427,1.132826,-0.569294,-9.636891,-52.426975,c0
2.063062,0.215365,0.107866,41.320145,-20.602552,c0
-1.127873,-1.108483,-0.065373,49.695501,-11.594431,c0
0.489764,2.227377,-0.652795,-24.434191,40.553173,c0
-1.520878,-0.084646,0.054924,-82.764098,60.678133,c0
-1.407285,1.39621,0.796472,16.312268,9.626297,c0
-0.580762,2.160139,1.097655,3.200811,43.296329,c0
-0.362452,-0.371145,0.571687,38.557384,107.895027,c0
-1.376033,-2.409735,-0.958083,55.294509,-61.448039,c0
0.579812,0.331044,1.791847,8.534554,22.811138,c0
0.663366,0.245095,-1.722426,53.702812,42.233518,c0
-0.748869,0.032972,1.36411,6.491194,89.037464,c0
0.233036,0.870259,1.430142,-9.767693,29.501911,c0
-1.474395,-0.658928,-0.009189,24.917538,36.497511,c0
1.108797,-0.880227,-0.175321,21.226203,15.540378,c0
0.005833,-2.055714,-0.358196,-47.088098,-78.775096,c0
0.882452,-1.596661,-0.170997,-41.247166,3.835452,c0
0.359927,0.412804,-0.873032,7.003838,-105.101426,c0
-0.265647,1.140436,0.062351,-36.631068,45.907512,c0
-1.285097,0.38933,-1.111045,18.426514,-1.342561,c0
0.852135,-0.165567,1.564873,66.354992,3.314096,c0
-1.146761,-0.183005,0.821515,12.008931,-1.38433,c0
1.189736,-1.403385,-0.113056,28.281845,-84.20954,c0
-0.352929,-1.390471,1.125711,41.363858,-8.710359,c0
-0.20057,0.571035,-0.818392,-25.927978,50.25136,c0
-0.801792,-0.627228,-0.535531,-9.588097,32.193449,c0
-0.735745,-1.484725,-2.177464,9.146144,94.78175,c0
-0.192252,0.05611,-1.175828,-99.932528,13.734513,c0
1.283053,0.574571,0.522943,23.261943,65.301127,c0
-0.054767,-0.68939,0.782489,36.149637,22.561309,c0
-1.012238,-0.523279,0.220543,-47.991096,37.049059,c0
-1.086622,0.152682,-0.113098,77.799517,-8.024366,c0
0.383553,0.818551,0.410277,-19.550164,3.83127,c0
0.921891,0.170444,0.022566,-70.871789,-85.832058,c0
-0.736799,0.454629,-0.259423,-105.657907,-9.249225,c0
1.331846,-0.603812,-0.485184,-52.626126,-53.523089,c0
0.807733,-1.017357,-1.330449,18.83423,34.037573,c0
0.540935,-0.175009,-0.183314,-7.704502,46.168756,c0
1.509378,-1.279815,-0.413319,-44.493203,30.438196,c0
-1.249087,0.014013,-0.295227,-4.834219,-14.023191,c0
-0.09436,-0.170276,-0.440141,41.336224,-67.415056,c0
-0.398958,-0.826661,-0.366605,29.881351,24.019745,c0
1.145024,-1.087259,-0.841118,45.881967,-5.919617,c0
1.465496,0.025993,-1.081974,0.680951,17.850633,c0
-0.79182,0.580022,0.003315,-49.172341,-2.812144,c0
0.210081,-0.044465,-1.433665,15.00445,34.984129,c0
1.442982,-0.183664,-0.794508,22.541026,46.430626,c0
0.771612,0.415088,0.915803,16.816333,-67.153772,c0
-0.154822,-0.446468,-0.213767,13.332283,-46.810717,c0
0.636447,-1.088452,1.256912,-36.251089,16.059444,c0
-1.389778,-1.143056,1.64577,-7.476179,-7.997605,c0
-0.451919,0.603766,1.510854,-14.07204,18.031056,c0
0.899362,-0.911901,-0.827435,-20.773518,-47.247297,c0
1.523109,-1.559863,-0.672765,50.08614,-65.052339,c0
-0.749239,1.197294,0.75179,42.504359,34.71192,c0
1.185305,0.622547,-0.396057,54.160192,-0.837807,c0
0.100992,-0.045593,0.327858,56.761781,-48.127865,c0
0.019173,0.504021,0.104618,-19.545533,14.524987,c0
-0.346774,-0.926543,-0.638118,-18.686746,-170.635642,c0
-0.722747,1.43218,0.443683,44.052316,-60.264915,c0
0.597094,0.637178,0.541012,2.822417,-5.38755,c0
1.205446,-1.363695,1.021948,33.108115,-2.596827,c0
1.006876,0.131967,0.103896,-125.327406,17.279105,c0
-0.171361,1.155079,-0.668038,4.534577,37.544827,c0
1.040007,0.214109,0.485579,-32.689167,-84.982718,c0
0.133634,-0.360962,0.809055,-12.89614,-8.865279,c0
1.306508,-0.60136,-0.42359,8.889788,30.689704,c0
-0.162977,0.593032,-0.268521,-37.955642,-62.316447,c0
0.483198,0.696974,0.577314,-9.697684,-19.456587,c0
-2.150123,2.360754,-0.368345,42.901537,35.255244,c0
0.96447,2.517714,1.14677,6.930408,-7.85834,c0
1.28704,-1.228247,1.606006,-38.686801,42.12795,c0
-1.319467,0.257614,2.005691,42.4623,54.861071,c0
1.182383,0.881361,0.204847,34.246545,-14.353643,c0
0.270779,-3.668296,-1.38223,12.061864,-21.925283,c0
0.930916,-0.982936,-1.612612,29.673571,-3.81801,c0
-0.761939,-0.235139,0.911517,-11.725476,102.488801,c0
-0.470691,-0.533412,-0.223228,16.167911,68.226682,c0
-1.146751,0.134941,0.656028,-78.083972,-25.763426,c0
1.038584,0.047003,-2.401939,76.572168,38.640374,c0
0.423159,0.536117,-0.3379,-39.304748,-47.289963,c0
1.102192,0.38729,0.307943,-9.535301,-48.991205,c0
-1.453957,-0.455602,-0.197,11.954934,-24.719671,c0
0.067651,-0.983226,-0.222882,52.651416,54.894636,c0
1.446044,-0.636931,-0.34372,-21.639012,16.257856,c0
2.01624,-0.684352,2.2566,47.667401,-25.585287,c0
0.802154,0.098185,-0.13639,-73.161945,-26.145444,c0
1.13239,-0.271336,-0.302058,-48.136866,-22.469063,c0
-1.325847,-0.789243,-0.949848,-5.28639,-3.797759,c0
1.294013,0.504185,0.429808,-45.934509,-0.190593,c0
0.620029,-0.18671,0.396186,64.628849,-67.9839,c0
1.46226,-0.573618,0.51999,32.938536,-15.110731,c0
1.477554,1.765952,1.602067,21.310931,60.235359,c0
-0.128264,0.670867,-0.094467,-83.106534,-92.933221,c0
-0.084626,-0.192622,1.426302,31.915503,-2.052361,c0
1.399871,0.114498,-1.048491,7.835611,-107.724934,c0
1.358937,-0.470117,0.383444,-3.762565,31.787409,c0
-0.30138,0.177928,0.073699,-65.254604,-25.346155,c0
2.23868,-1.482511,2.49417,36.42773,-46.799587,c0
-0.118401,-2.242753,-1.429849,-20.64649,32.818931,c0
0.98041,1.080204,-0.695322,1.335008,-25.467325,c0
0.296479,-0.295644,0.86762,0.328867,52.884468,c0
-1.397981,1.770838,0.127948,-9.760575,24.010418,c0
0.040755,-0.525912,2.006252,20.648145,-30.115339,c0
0.866472,0.974745,-1.232417,0.337517,-3.049385,c0
1.01365,0.445679,0.983915,59.428044,1.465343,c0
-0.282048,-0.584399,1.766106,-44.060091,31.304959,c0
