%
% Commandline
%
% weka.datagenerators.clusterers.SubspaceCluster -r D02_k03_N60000 -S 1 -a 2 -c -P 0.0 -C "-G 1,2 -D 2.0,4.0,0.0,1.0 -N 10000..10000 -I" -C "-G 1,2 -D 10.0,1.0,50.0,4.0 -N 10000..10000 -I" -C "-G 1,2 -D 50.0,4.0,25.0,1.0 -N 10000..10000 -I"
%
%
% Prologue
%
%
% Cluster: c0   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 2.0 StdDev: 4.0
% Attribute: 1 Mean: 0.0 StdDev: 1.0
%
% Number of Instances:            10000..10000
% Generated Number of Instances:  10000
%
% Cluster: c1   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 10.0 StdDev: 1.0
% Attribute: 1 Mean: 50.0 StdDev: 4.0
%
% Number of Instances:            10000..10000
% Generated Number of Instances:  10000
%
% Cluster: c2   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 50.0 StdDev: 4.0
% Attribute: 1 Mean: 25.0 StdDev: 1.0
%
% Number of Instances:            10000..10000
% Generated Number of Instances:  10000
%
% ----------------------------------------------
% Total Number of Instances: 30000
%                            in 3 Cluster(s)
%
%
@relation D02_k03_N60000

@attribute X0 numeric
@attribute X1 numeric
@attribute class {c0,c1,c2}

@data
8.246324,-0.608183,c0
-2.364912,-0.62454,c0
-2.473133,-1.658322,c0
-5.528658,0.059255,c0
0.366355,0.28771,c0
3.780929,-0.955812,c0
0.659414,-0.991251,c0
4.445404,0.957185,c0
1.241457,0.008864,c0
3.706,-0.625766,c0
-2.643475,2.830732,c0
3.421874,-1.360487,c0
3.820117,-1.162962,c0
-3.219736,0.163741,c0
0.008836,-1.33273,c0
0.474404,-1.496829,c0
6.129763,1.734238,c0
-1.315832,0.332482,c0
-6.896753,-0.650312,c0
-5.740355,-0.660431,c0
2.00297,0.089576,c0
2.943703,0.741011,c0
12.37139,-2.893729,c0
-0.630306,-1.771988,c0
0.06238,-0.54584,c0
9.317409,2.07285,c0
3.649267,1.357821,c0
4.60366,-0.966084,c0
-0.896388,0.821078,c0
3.6826,0.465949,c0
-2.17552,0.426038,c0
1.003924,0.324346,c0
5.828968,1.03273,c0
2.025108,0.322084,c0
-1.126292,0.474629,c0
2.432714,-0.125658,c0
11.489774,-0.367935,c0
-1.270318,0.239291,c0
0.439988,0.075573,c0
5.806689,-1.163564,c0
3.280586,1.07648,c0
-4.770014,1.142014,c0
0.498415,0.679705,c0
8.243806,-0.490605,c0
-1.084861,-1.420239,c0
3.328272,0.558799,c0
-0.352084,-0.054511,c0
-0.63992,0.130039,c0
5.14017,1.890198,c0
3.381419,-0.214968,c0
-2.045894,0.831898,c0
-4.482452,1.07191,c0
-1.166904,-2.114852,c0
1.414893,-1.305558,c0
5.873472,1.18527,c0
2.457953,0.201863,c0
6.402693,1.763313,c0
0.567809,0.252423,c0
0.559242,0.7084,c0
2.768986,0.632303,c0
-0.958201,0.620894,c0
-0.147874,1.26795,c0
3.320924,-0.604928,c0
-2.950795,1.12771,c0
-3.622705,-1.900357,c0
7.356468,-0.73995,c0
6.468918,-0.751149,c0
9.101057,-2.976373,c0
-0.136397,1.841647,c0
4.911146,0.923373,c0
-0.848693,0.945606,c0
-4.208651,-0.326139,c0
0.009887,-0.357259,c0
9.500263,0.867716,c0
3.431963,-1.597231,c0
3.561792,0.207868,c0
5.09252,-0.719352,c0
-3.102914,-0.21717,c0
6.654302,0.359686,c0
5.934008,-1.401908,c0
-1.024463,-0.87668,c0
-3.833581,-0.95275,c0
3.482894,0.318767,c0
-0.772577,-1.462362,c0
1.467175,0.048364,c0
-0.785203,0.178544,c0
5.851644,-1.027989,c0
-0.799199,0.348297,c0
-0.676687,-1.204881,c0
-2.675832,0.332791,c0
7.520157,0.066484,c0
1.382174,-0.45708,c0
5.759205,1.60654,c0
6.684204,-1.821357,c0
3.356708,0.14178,c0
-3.954717,-0.29944,c0
6.438092,-1.285412,c0
3.406781,-0.383606,c0
0.01055,-1.924432,c0
12.871668,1.217462,c0
-2.313238,1.145033,c0
1.501806,1.325148,c0
2.936748,-0.074892,c0
2.417662,-0.141917,c0
4.917846,0.566887,c0
0.958238,-0.850444,c0
4.627564,-0.71908,c0
7.299124,0.731409,c0
0.125762,0.548378,c0
-3.24997,0.75526,c0
4.542684,0.886104,c0
1.581389,-1.030774,c0
2.29563,1.696486,c0
-0.64978,0.089458,c0
0.796936,0.87091,c0
-2.845529,0.635255,c0
0.617813,0.64347,c0
3.61395,1.836301,c0
-2.273379,-0.514598,c0
5.718469,0.651516,c0
1.375558,1.396449,c0
-1.372502,-0.041145,c0
-9.231799,-1.134427,c0
6.531303,-0.569294,c0
1.229049,-1.048539,c0
10.252249,0.215365,c0
2.431462,0.826403,c0
0.351796,-1.127873,c0
-2.433932,-0.065373,c0
5.97564,-0.231889,c0
3.959055,2.227377,c0
-0.611178,-0.488684,c0
5.244254,-1.520878,c0
1.661416,0.054924,c0
-4.621128,1.213563,c0
-3.629141,1.39621,c0
5.185888,0.326245,c0
2.770104,-0.580762,c0
10.640557,1.097655,c0
2.256065,0.865927,c0
0.550192,-0.371145,c0
4.286747,0.771148,c0
10.631602,-1.376033,c0
-7.638938,-0.958083,c0
6.423561,-1.228961,c0
4.319246,0.331044,c0
9.167389,0.170691,c0
3.824891,0.663366,c0
2.980379,-1.722426,c0
6.296225,0.84467,c0
-0.995475,0.032972,c0
