@relation D02_k03_N60000

@attribute X0 numeric
@attribute X1 numeric
@attribute class {c0,c1,c2}

@data
3.561581,-2.43273,c0
0.908772,-2.498161,c0
0.881717,-6.633287,c0
0.117836,0.237022,c0
1.591589,1.150838,c0
2.445232,-3.823248,c0
1.664853,-3.965002,c0
2.611351,3.82874,c0
1.810364,0.035454,c0
2.4265,-2.503066,c0
0.839131,11.322929,c0
2.355468,-5.441948,c0
2.455029,-4.65185,c0
0.695066,0.654962,c0
1.502209,-5.33092,c0
1.618601,-5.987317,c0
3.032441,6.93695,c0
1.171042,1.329929,c0
-0.224188,-2.601249,c0
0.064911,-2.641723,c0
2.000742,0.358304,c0
2.235926,2.964042,c0
4.592848,-11.574916,c0
1.342423,-7.087953,c0
1.515595,-2.183361,c0
3.829352,8.291398,c0
2.412317,5.431282,c0
2.650915,-3.864337,c0
1.275903,3.284311,c0
2.42065,1.863797,c0
0.95612,1.704154,c0
1.750981,1.297384,c0
2.957242,4.130919,c0
2.006277,1.288337,c0
1.218427,1.898518,c0
2.108179,-0.502631,c0
4.372443,-1.471741,c0
1.18242,0.957163,c0
1.609997,0.302294,c0
2.951672,-4.654256,c0
2.320147,4.305918,c0
0.307497,4.568055,c0
1.624604,2.718821,c0
3.560951,-1.962418,c0
1.228785,-5.680958,c0
2.332068,2.235198,c0
1.411979,-0.218044,c0
1.34002,0.520156,c0
2.785042,7.560794,c0
2.345355,-0.859871,c0
0.988527,3.327592,c0
0.379387,4.287642,c0
1.208274,-8.459408,c0
1.853723,-5.222234,c0
2.968368,4.74108,c0
2.114488,0.80745,c0
3.100673,7.053254,c0
1.641952,1.009693,c0
1.63981,2.833602,c0
2.192246,2.529214,c0
1.26045,2.483575,c0
1.463032,5.0718,c0
2.330231,-2.419713,c0
0.762301,4.510839,c0
0.594324,-7.601426,c0
3.339117,-2.9598,c0
3.117229,-3.004595,c0
3.775264,-11.905491,c0
1.465901,7.366588,c0
2.727787,3.69349,c0
1.287827,3.782426,c0
0.447837,-1.304557,c0
1.502472,-1.429037,c0
3.875066,3.470864,c0
2.357991,-6.388923,c0
2.390448,0.831474,c0
2.77313,-2.877409,c0
0.724271,-0.868681,c0
3.163576,1.438745,c0
2.983502,-5.607631,c0
1.243884,-3.50672,c0
0.541605,-3.810998,c0
2.370724,1.275069,c0
1.306856,-5.849447,c0
1.866794,0.193457,c0
1.303699,0.714174,c0
2.962911,-4.111954,c0
1.3002,1.39319,c0
1.330828,-4.819522,c0
0.831042,1.331165,c0
3.380039,0.265937,c0
1.845543,-1.828322,c0
2.939801,6.426159,c0
3.171051,-7.285428,c0
2.339177,0.567122,c0
0.511321,-1.197761,c0
3.109523,-5.141648,c0
2.351695,-1.534424,c0
1.502638,-7.697728,c0
4.717917,4.86985,c0
0.921691,4.580131,c0
1.875452,5.300593,c0
2.234187,-0.299566,c0
2.104415,-0.567669,c0
2.729462,2.267547,c0
1.739559,-3.401775,c0
2.656891,-2.876319,c0
3.324781,2.925638,c0
1.531441,2.193513,c0
0.687508,3.02104,c0
2.635671,3.544416,c0
1.895347,-4.123096,c0
2.073908,6.785944,c0
1.337555,0.357831,c0
1.699234,3.483641,c0
0.788618,2.54102,c0
1.654453,2.57388,c0
2.403487,7.345206,c0
0.931655,-2.058392,c0
2.929617,2.606064,c0
1.84389,5.585796,c0
1.156875,-0.164579,c0
-0.80795,-4.537706,c0
3.132826,-2.277177,c0
1.807262,-4.194158,c0
4.063062,0.861461,c0
2.107866,3.305612,c0
1.587949,-4.511494,c0
0.891517,-0.261492,c0
2.99391,-0.927555,c0
2.489764,8.90951,c0
1.347205,-1.954735,c0
2.811063,-6.083512,c0
1.915354,0.219697,c0
0.344718,4.854251,c0
0.592715,5.58484,c0
2.796472,1.304981,c0
2.192526,-2.323048,c0
4.160139,4.390622,c0
2.064016,3.463706,c0
1.637548,-1.484581,c0
2.571687,3.084591,c0
4.157901,-5.504131,c0
-0.409735,-3.832333,c0
3.10589,-4.915843,c0
2.579812,1.324175,c0
3.791847,0.682764,c0
2.456223,2.653465,c0
2.245095,-6.889705,c0
3.074056,3.378681,c0
1.251131,0.131887,c0
3.36411,0.519296,c0
3.780749,0.932145,c0
2.870259,5.720569,c0
1.804646,2.360153,c0
0.525605,-2.635712,c0
1.990811,1.993403,c0
2.72995,4.435189,c0
1.119773,-0.701284,c0
2.424524,1.24323,c0
2.005833,-8.222857,c0
1.641804,-3.767048,c0
0.424498,3.529808,c0
0.403339,-0.683989,c0
1.175057,0.306836,c0
2.359927,1.651217,c0
1.126968,0.560307,c0
-0.102029,-1.062588,c0
3.140436,0.249403,c0
1.267379,3.672601,c0
0.714903,1.55732,c0
0.888955,1.474121,c0
1.973149,3.408541,c0
1.834433,6.259493,c0
3.3271,0.265128,c0
0.853239,-0.732019,c0
2.821515,0.960714,c0
1.972313,4.758943,c0
0.596615,-0.452225,c0
2.565637,-6.736763,c0
1.647071,-5.561882,c0
3.125711,3.309109,c0
1.825793,-0.802281,c0
2.571035,-3.273568,c0
1.48144,4.020109,c0
1.198208,-2.508913,c0
1.464469,-0.767048,c0
2.643869,-2.942979,c0
0.515275,-8.709857,c0
2.182923,7.58254,c0
1.807748,0.224439,c0
0.824172,-7.994602,c0
2.27469,5.132213,c0
2.574571,2.09177,c0
2.465239,5.22409,c0
1.945233,-2.757559,c0
2.782489,2.891971,c0
2.451226,-4.04895,c0
1.476721,0.882173,c0
1.040178,2.963925,c0
0.913378,0.610729,c0
1.886902,6.223961,c0
1.839513,1.534212,c0
2.818551,1.641109,c0
1.608997,0.306502,c0
2.921891,0.681774,c0
2.022566,-5.669743,c0
0.283359,-2.947194,c0
2.454629,-1.037691,c0
-0.113158,-0.739938,c0
3.331846,-2.41525,c0
1.514816,-4.21009,c0
0.929538,3.230933,c0
0.982643,-5.321795,c0
2.376685,2.723006,c0
2.540935,-0.700035,c0
1.816686,-0.61636,c0
2.923375,6.037513,c0
0.720185,-1.653276,c0
1.110136,2.435056,c0
0.750913,0.056051,c0
1.704773,-0.386738,c0
1.719536,-0.377441,c0
1.829724,-1.760565,c0
2.826724,-5.393205,c0
1.601042,-3.306643,c0
1.633395,2.390508,c0
2.480395,4.580095,c0
0.912741,-3.364473,c0
2.917639,-0.473569,c0
3.465496,0.103971,c0
0.918026,0.054476,c0
2.357013,-3.167281,c0
2.580022,0.013262,c0
1.016553,-0.224972,c0
2.210081,-0.177859,c0
0.566335,1.200356,c0
2.699683,5.771927,c0
1.816336,-3.178031,c0
2.450821,3.71445,c0
2.771612,1.66035,c0
2.915803,1.345307,c0
0.656925,-0.61929,c0
1.553532,-0.855067,c0
2.266646,-3.744857,c0
2.636447,-4.353809,c0
3.256912,-2.900087,c0
2.321189,-5.559112,c0
0.856944,6.583078,c0
1.850476,-0.639808,c0
1.548081,2.415062,c0
3.510854,-1.125763,c0
2.360621,3.597446,c0
1.088099,-3.30974,c0
1.58453,-3.779784,c0
3.523109,-6.239454,c0
1.327235,4.006891,c0
0.698953,-2.996957,c0
3.197294,3.007162,c0
2.850087,2.776954,c0
3.185305,2.490188,c0
1.603943,4.332815,c0
1.983244,0.403968,c0
1.954407,1.311432,c0
3.135236,-3.850229,c0
2.019173,2.016082,c0
2.104618,-1.563643,c0
2.2905,-1.387097,c0
1.073457,-2.552474,c0
1.626265,-13.650851,c0
1.277253,5.72872,c0
2.443683,3.524185,c0
0.794702,2.388375,c0
2.637178,2.164049,c0
2.056448,-0.431004,c0
3.205446,-5.45478,c0
3.021948,2.648649,c0
1.948063,4.027503,c0
2.131967,0.415584,c0
-0.506548,1.382328,c0
1.828639,4.620316,c0
1.331962,0.362766,c0
2.750897,4.160026,c0
2.214109,1.942315,c0
1.346217,-6.798617,c0
2.133634,-1.44385,c0
2.809055,-1.031691,c0
1.822694,5.226034,c0
1.39864,-1.69436,c0
2.177796,2.455176,c0
1.837023,2.372127,c0
1.731479,-3.036451,c0
0.753671,1.932791,c0
2.696974,2.309256,c0
1.806046,-1.556527,c0
-0.150123,9.443016,c0
