@relation D02_k03_N60000-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P50.0

@attribute X0 numeric
@attribute X1 numeric
@attribute class {c0,c1,c2}

@data
16.328651,-0.514032,c2
1.935498,-0.468854,c0
16.540226,-0.801999,c2
18.311572,1.741606,c2
15.931124,-1.600984,c2
9.941645,-1.388396,c1
21.822071,-0.904608,c2
6.69821,-1.685354,c0
9.573392,0.335704,c0
4.866517,-0.023789,c0
-0.084419,-0.530585,c0
9.686171,-5.508787,c1
10.339184,0.690039,c1
-3.385903,-0.181202,c0
2.705076,-1.338755,c0
16.267173,-0.172204,c2
10.851404,11.453102,c1
10.328011,-5.070834,c1
2.82285,1.082307,c0
21.523701,-1.327699,c2
10.072004,0.685219,c1
17.228313,1.419308,c2
7.360196,-1.297707,c0
19.438219,-0.134859,c2
1.474817,0.979183,c0
1.554862,0.822139,c0
8.427213,-0.177766,c0
9.702866,-0.679364,c1
9.899018,-0.027268,c0
11.350437,0.165499,c2
10.21067,-3.596416,c1
17.594776,-2.602198,c2
3.981914,1.191775,c0
17.816553,1.283816,c2
11.769309,-5.938713,c1
9.830183,-0.813103,c1
7.037883,-0.511021,c0
4.999326,0.519336,c0
10.229381,-4.524856,c1
-3.520732,-1.32195,c0
1.242621,0.075243,c0
9.910378,-3.934487,c1
15.504775,-0.64279,c2
19.30703,2.426771,c2
1.616349,-0.463558,c0
9.498334,4.50493,c1
9.35272,-4.868987,c1
10.857901,-1.703914,c1
-1.232412,-0.054145,c0
1.214256,1.28297,c0
5.225672,0.72003,c0
11.399803,-5.807072,c1
21.721229,-0.771192,c2
11.167052,-5.719891,c1
10.985627,-0.42928,c2
-2.268358,1.240162,c0
5.780817,0.940536,c0
20.991364,0.167439,c2
10.022255,-0.506802,c1
23.343963,1.337702,c2
11.342254,1.662849,c1
-5.874665,-0.849789,c0
2.035437,0.142124,c0
12.459799,-0.701784,c2
8.613741,-3.428785,c0
8.322456,0.03242,c1
16.006683,0.770259,c2
9.217315,-0.762538,c0
10.306985,3.289025,c1
8.965,-1.914692,c1
9.66998,-0.592741,c2
9.394613,-1.46687,c1
10.191401,6.682231,c1
9.626024,3.439407,c1
23.841157,-0.881509,c2
8.393107,-4.157363,c1
5.164227,0.234647,c0
16.248968,0.601878,c2
0.680275,0.131691,c0
2.537487,1.846887,c0
10.00167,-2.204539,c1
0.323806,-0.068754,c0
3.356863,-0.664602,c0
13.108661,0.231784,c2
21.013517,-0.51205,c2
17.51647,0.8535,c2
9.457823,0.266667,c0
13.11799,2.026427,c2
11.532665,2.161999,c1
16.728848,-0.004364,c2
2.912903,-1.659916,c0
8.705188,-0.767792,c0
8.692722,-3.643977,c1
17.509468,-1.139949,c2
18.947257,-0.428742,c2
3.975371,0.165846,c0
-0.539913,-0.866563,c0
-0.825886,1.679502,c0
9.624633,2.354585,c1
4.481795,1.27423,c0
6.900701,-2.338826,c0
13.207713,1.071165,c2
10.13617,-3.594841,c1
3.489126,0.332955,c0
20.820454,0.140191,c2
22.164434,1.757536,c2
15.186583,-0.33297,c2
2.149481,1.579759,c0
4.361311,2.186138,c0
20.701992,-0.002034,c2
16.092463,-1.880097,c2
-0.671454,1.052272,c0
2.212106,-0.193114,c0
9.351548,5.07991,c1
13.61073,1.693456,c2
1.995087,-0.164307,c0
9.400895,-5.390244,c1
9.518819,8.986469,c1
9.710218,6.541515,c1
10.036019,-2.095798,c1
-1.636943,0.400484,c0
-5.160359,-0.585125,c0
19.098654,-1.826072,c2
-0.923622,0.606221,c0
18.355912,-0.733316,c2
-1.443826,-0.201545,c0
12.736291,0.599225,c2
9.533847,-0.629184,c1
11.283551,0.977148,c2
16.262122,-0.605797,c2
10.28076,-1.582783,c1
22.742094,-0.468702,c2
9.679495,5.902514,c1
16.757844,1.103637,c2
10.580743,-0.339668,c1
-0.829416,-1.307833,c0
23.768921,0.008113,c2
16.454866,0.417306,c2
10.305298,1.871223,c1
17.961688,1.051294,c2
11.433047,2.567918,c1
22.107317,0.576925,c2
