%
% Commandline
%
% weka.datagenerators.clusterers.SubspaceCluster -r D30_k02_N10000 -S 1 -a 30 -c -P 0.0 -C "-G 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30 -D 1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0,1.0,10.0,1.0,5.0 -N 5000..5000 -I" -C "-G 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30 -D 2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0,2.0,5.0,1.0,10.0 -N 5000..5000 -I"
%
%
% Prologue
%
%
% Cluster: c0   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 1.0 StdDev: 10.0
% Attribute: 1 Mean: 1.0 StdDev: 5.0
% Attribute: 2 Mean: 1.0 StdDev: 10.0
% Attribute: 3 Mean: 1.0 StdDev: 5.0
% Attribute: 4 Mean: 1.0 StdDev: 10.0
% Attribute: 5 Mean: 1.0 StdDev: 5.0
% Attribute: 6 Mean: 1.0 StdDev: 10.0
% Attribute: 7 Mean: 1.0 StdDev: 5.0
% Attribute: 8 Mean: 1.0 StdDev: 10.0
% Attribute: 9 Mean: 1.0 StdDev: 5.0
% Attribute: 10 Mean: 1.0 StdDev: 10.0
% Attribute: 11 Mean: 1.0 StdDev: 5.0
% Attribute: 12 Mean: 1.0 StdDev: 10.0
% Attribute: 13 Mean: 1.0 StdDev: 5.0
% Attribute: 14 Mean: 1.0 StdDev: 10.0
% Attribute: 15 Mean: 1.0 StdDev: 5.0
% Attribute: 16 Mean: 1.0 StdDev: 10.0
% Attribute: 17 Mean: 1.0 StdDev: 5.0
% Attribute: 18 Mean: 1.0 StdDev: 10.0
% Attribute: 19 Mean: 1.0 StdDev: 5.0
% Attribute: 20 Mean: 1.0 StdDev: 10.0
% Attribute: 21 Mean: 1.0 StdDev: 5.0
% Attribute: 22 Mean: 1.0 StdDev: 10.0
% Attribute: 23 Mean: 1.0 StdDev: 5.0
% Attribute: 24 Mean: 1.0 StdDev: 10.0
% Attribute: 25 Mean: 1.0 StdDev: 5.0
% Attribute: 26 Mean: 1.0 StdDev: 10.0
% Attribute: 27 Mean: 1.0 StdDev: 5.0
% Attribute: 28 Mean: 1.0 StdDev: 10.0
% Attribute: 29 Mean: 1.0 StdDev: 5.0
%
% Number of Instances:            5000..5000
% Generated Number of Instances:  5000
%
% Cluster: c1   Gaussian
% ----------------------------------------------
% Attribute: 0 Mean: 2.0 StdDev: 5.0
% Attribute: 1 Mean: 1.0 StdDev: 10.0
% Attribute: 2 Mean: 2.0 StdDev: 5.0
% Attribute: 3 Mean: 1.0 StdDev: 10.0
% Attribute: 4 Mean: 2.0 StdDev: 5.0
% Attribute: 5 Mean: 1.0 StdDev: 10.0
% Attribute: 6 Mean: 2.0 StdDev: 5.0
% Attribute: 7 Mean: 1.0 StdDev: 10.0
% Attribute: 8 Mean: 2.0 StdDev: 5.0
% Attribute: 9 Mean: 1.0 StdDev: 10.0
% Attribute: 10 Mean: 2.0 StdDev: 5.0
% Attribute: 11 Mean: 1.0 StdDev: 10.0
% Attribute: 12 Mean: 2.0 StdDev: 5.0
% Attribute: 13 Mean: 1.0 StdDev: 10.0
% Attribute: 14 Mean: 2.0 StdDev: 5.0
% Attribute: 15 Mean: 1.0 StdDev: 10.0
% Attribute: 16 Mean: 2.0 StdDev: 5.0
% Attribute: 17 Mean: 1.0 StdDev: 10.0
% Attribute: 18 Mean: 2.0 StdDev: 5.0
% Attribute: 19 Mean: 1.0 StdDev: 10.0
% Attribute: 20 Mean: 2.0 StdDev: 5.0
% Attribute: 21 Mean: 1.0 StdDev: 10.0
% Attribute: 22 Mean: 2.0 StdDev: 5.0
% Attribute: 23 Mean: 1.0 StdDev: 10.0
% Attribute: 24 Mean: 2.0 StdDev: 5.0
% Attribute: 25 Mean: 1.0 StdDev: 10.0
% Attribute: 26 Mean: 2.0 StdDev: 5.0
% Attribute: 27 Mean: 1.0 StdDev: 10.0
% Attribute: 28 Mean: 2.0 StdDev: 5.0
% Attribute: 29 Mean: 1.0 StdDev: 10.0
%
% Number of Instances:            5000..5000
% Generated Number of Instances:  5000
%
% ----------------------------------------------
% Total Number of Instances: 10000
%                            in 2 Cluster(s)
%
%
@relation D30_k02_N10000

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute X20 numeric
@attribute X21 numeric
@attribute X22 numeric
@attribute X23 numeric
@attribute X24 numeric
@attribute X25 numeric
@attribute X26 numeric
@attribute X27 numeric
@attribute X28 numeric
@attribute X29 numeric
@attribute class {c0,c1}

@data
16.61581,-2.040913,-9.912279,-2.122701,-10.182832,-7.291609,-17.821644,1.296277,-3.084113,2.438548,5.452322,-3.779059,-2.351465,-3.956253,7.113509,5.785925,-0.896358,1.044318,5.265,-2.128832,-10.608688,15.153662,4.554684,-5.802435,5.550292,-4.814812,-12.049339,1.818703,-3.977911,-5.66365,c0
-2.813989,-6.484146,11.324408,9.671188,-7.289581,2.662412,-21.241882,-2.251561,-18.350887,-2.302154,1.007424,1.44788,3.359257,4.705053,26.928476,-13.468645,-5.575765,-7.859941,-3.844051,-1.729202,19.293522,11.364248,5.123167,7.789103,7.50915,-3.830421,-6.240969,5.105389,5.2065,3.329746,c0
-9.438801,3.130192,-1.49019,2.621731,10.572421,6.163649,1.06277,2.610421,-6.815729,3.373147,2.081786,0.371711,24.724435,-0.839676,-7.175796,2.196454,-2.900031,1.377867,10.516722,-4.817819,4.201466,6.382398,-15.925035,6.710069,-2.753963,4.398526,16.609514,-1.453023,-6.712153,-6.101197,c0
4.320681,3.793997,-4.88021,0.727445,-5.599801,1.650196,8.850424,10.450992,4.453546,-0.074839,-9.114735,5.159491,-15.206131,6.359552,-6.91726,-9.57426,-0.462768,-5.527792,10.68368,6.92635,2.144883,2.009313,12.006732,9.816567,-2.580479,2.262116,-2.601896,4.542002,2.922464,4.161517,c0
-6.395502,4.104469,-4.369684,7.33975,4.302311,-2.024641,-11.376988,6.638549,-13.056763,-8.501783,14.39117,-2.69975,12.172294,-2.755744,18.752642,-13.881864,-4.340991,10.208235,8.277866,5.616863,-6.121733,5.728032,-14.521627,-0.630696,-3.975281,-0.786296,19.750659,5.33858,4.579907,-6.986154,c0
4.90448,2.039342,8.7313,-2.596761,-11.757286,-0.085851,12.635755,2.798431,10.835021,-6.009539,-6.561158,-3.3834,-13.583953,-3.763748,4.707235,2.593837,-5.931442,-6.311809,-0.332063,1.241822,-5.963007,1.892718,10.62911,-4.139943,-5.997999,2.741487,-5.691718,-5.024403,-10.68958,2.663956,c0
14.800393,1.332421,-0.544566,-1.285402,10.398011,9.032698,12.710511,-8.106785,4.39177,1.708902,-13.886792,-0.497201,12.09523,-5.42706,4.516952,-0.91803,-3.973624,-8.622161,28.179171,7.087312,-9.783095,6.725164,-0.245484,7.625742,3.34187,0.625542,2.044155,0.290414,8.294615,3.834433,c0
-1.604406,-3.252219,7.568911,-2.595398,14.24781,4.657047,-3.685594,3.741892,-12.124925,4.7763,7.356711,5.43052,-0.046526,-4.15387,1.739076,9.48243,-5.62445,1.447289,-2.007659,5.354551,-11.113822,4.176275,-2.455468,4.21735,5.034874,10.181507,-9.683447,-1.57299,10.296172,4.25758,c0
-0.561105,7.982245,-7.431254,0.794276,-27.079498,-4.672133,12.328258,-1.846471,-0.927378,-4.242697,21.630624,2.076826,2.078655,5.132014,-3.12051,-4.639367,-10.084831,0.673135,10.9391,-0.159443,5.897638,12.136887,-5.527945,-1.443419,9.110635,-6.60439,0.15354,1.274621,-15.55282,7.067813,c0
-13.072853,7.98105,8.96472,2.631227,2.925259,-1.90381,22.601392,6.488277,1.640162,5.329633,-2.624521,-0.855726,6.716869,4.855738,22.579005,-5.880164,-23.097345,-3.790416,12.058902,-5.144804,6.798115,2.655218,18.918473,1.853455,5.562228,4.316831,3.450948,-7.612131,11.740562,5.223352,c0
-6.488687,1.164859,14.641103,1.649119,18.807493,2.165181,9.702587,8.150711,-0.953539,3.950191,-13.743946,-2.294641,0.908112,3.491754,8.299502,6.543986,-7.802275,0.123394,5.245241,2.554038,1.058326,-9.278572,-2.581956,-3.70881,-14.755019,5.41226,-14.966608,0.145014,-7.249433,1.383545,c0
4.599274,3.064022,-7.730324,1.700384,-20.020285,-0.328235,12.404359,1.311754,-6.326214,5.590751,-11.850966,2.946651,-10.110447,2.842651,0.731488,5.260676,-0.655671,8.824366,14.270998,1.33141,-10.46761,0.084977,9.215146,2.200893,0.723134,6.948679,-13.033848,0.434719,6.656369,-7.420954,c0
-2.529287,-5.952353,12.25711,5.136386,-0.742072,-0.002852,6.710349,-3.091959,-4.185596,6.025136,-7.017917,-2.136142,-4.355311,0.04119,7.43869,-2.678724,-13.847254,-9.887322,2.829229,10.478175,-0.92252,1.280549,-10.758278,-8.993253,3.746903,7.415266,6.745709,3.614713,5.652389,7.530113,c0
0.452334,-2.446949,8.824887,4.614964,5.512262,-4.061188,-4.232793,2.102717,-8.598219,4.704906,-9.866216,1.763411,-0.130979,8.779952,-0.604873,2.917765,9.185506,3.051387,-2.910033,1.383127,10.218909,1.852218,1.225658,-6.087179,-16.166412,-2.683993,5.546291,-0.297113,-20.131581,0.075077,c0
14.318464,-2.019062,-3.851837,-4.262613,-9.704618,5.038666,-9.173568,-5.652244,4.766846,4.403757,6.409351,0.124956,-0.833142,0.22955,10.233751,8.546891,-11.798154,-1.066595,-7.898641,4.04382,-11.490868,1.070063,-1.95227,0.516578,-1.804638,0.528199,-0.702756,-1.200706,9.267245,-5.741506,c0
-2.989576,-3.133304,-2.666046,3.988135,5.803949,6.725118,-9.872585,-3.205592,10.176393,0.408038,15.654959,1.129963,-9.819737,1.068095,4.570127,-2.959101,6.800217,1.016577,-8.834468,0.718786,3.100806,0.777677,-13.336645,2.500445,7.996826,8.214909,-0.836644,-2.972539,5.508205,5.643063,c0
8.716115,3.075438,10.158031,2.681633,-12.430754,0.225888,-3.464679,-0.068834,3.666457,-3.681072,7.364469,-4.442261,13.569119,-2.625109,4.211889,-5.94889,-10.430565,9.228848,-0.495236,0.200239,-3.519191,4.018828,16.108537,-0.407204,4.606211,5.496808,-8.119009,-3.137175,-3.154704,-3.72473,c0
