@relation D30_k02_N10000-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P50.0

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute X20 numeric
@attribute X21 numeric
@attribute X22 numeric
@attribute X23 numeric
@attribute X24 numeric
@attribute X25 numeric
@attribute X26 numeric
@attribute X27 numeric
@attribute X28 numeric
@attribute X29 numeric
@attribute class {c0,c1}

@data
-2.073931,2.44662,-0.362283,10.515323,4.21886,9.742242,2.04212,-6.540516,-4.048725,16.510369,7.459857,2.399262,0.043456,1.775589,-0.625386,-14.762946,5.852253,-14.169526,0.28584,14.81947,-4.910438,9.697981,6.06591,7.507815,2.668284,-1.19417,2.383074,8.943464,-0.956592,7.090805,c1
20.252061,3.988203,1.582183,3.428511,8.380932,7.452559,-5.285177,7.289929,12.323473,9.826479,12.075817,0.053443,-0.875317,4.450218,-12.264548,3.326545,10.717972,10.463614,9.978324,4.706621,-2.407109,1.036211,6.436121,-6.060179,11.455488,1.357113,-6.748116,5.042994,-12.435082,-6.066554,c0
-1.122626,8.590267,-2.39666,-8.133072,10.157699,-5.27688,2.499651,-5.262966,1.017691,1.675583,-12.217024,-7.962024,-5.426593,-2.247926,1.006191,1.353509,-0.047539,1.352343,1.460022,13.216721,-2.244178,10.306243,-2.084179,-4.196884,-5.289045,-1.302913,3.922247,5.88703,-1.338164,-12.478984,c1
16.449031,1.328783,12.594975,-7.865718,-16.33737,2.107072,-10.712453,-4.893398,15.012822,2.855196,0.600163,-3.671178,-10.683778,3.803631,8.984994,0.440673,2.436544,-0.330528,0.086397,-1.729187,0.702724,-2.932429,3.774352,-1.077437,-1.27781,4.473313,2.543728,1.859435,-0.582447,6.689153,c0
-0.03439,-7.227989,-3.774181,9.087318,3.267873,17.818251,7.303839,-8.696963,4.79645,17.113958,-10.674989,1.544814,1.522464,-10.922327,-8.935552,-14.366069,0.632733,-10.397716,2.964071,18.759405,-5.989841,9.998988,2.410165,-7.0363,6.365994,-1.165591,-1.474104,-0.193399,8.882727,11.478451,c1
0.186521,-1.289652,6.544317,-8.738277,-2.779375,14.576935,1.177647,-9.12086,2.343445,2.486039,8.568875,0.597475,10.411944,23.79483,5.466189,-6.726067,9.403042,-0.818819,-4.278306,3.868405,3.095553,-8.166417,3.908154,-14.048897,5.724893,-6.342042,-0.104712,3.340304,4.947392,-5.777757,c1
18.532826,13.390535,-15.068928,-4.196703,3.612038,-0.046708,9.353067,0.49342,11.389769,-6.752947,15.892042,-4.601986,-4.37822,-0.721198,7.003807,-0.818145,7.050608,4.625543,-4.626198,-3.561804,7.672087,-0.324258,-5.332003,-0.451874,-2.010574,3.91284,14.165129,1.008882,9.991259,9.799273,c0
-1.069679,4.349298,2.664095,8.290678,5.464782,7.033837,-5.848471,-5.78182,15.378852,6.55546,0.420573,9.597997,0.52356,-6.530195,7.426262,-17.703099,9.33148,2.177698,5.309414,-6.236636,1.69656,7.685057,6.911393,0.760904,1.367342,0.851592,-0.595816,21.337503,-1.518196,6.279038,c1
15.791536,0.240372,5.740228,-6.395334,12.961247,-4.15923,7.860378,-4.973795,6.429047,12.229611,8.886676,-0.331158,1.942186,3.172076,-4.907947,4.714749,9.102152,3.089614,-6.612269,1.559263,0.654685,1.945881,-2.793453,-1.098801,21.245046,10.261004,-5.219055,-7.009435,16.217025,-11.012737,c0
-6.682947,-3.91667,5.194035,2.443586,-12.862395,-3.475517,8.029159,-0.89457,13.587309,13.590652,0.717767,3.566308,-10.700918,4.712575,8.873193,2.726666,4.9966,-0.431574,4.10355,1.757778,2.406868,1.999933,-4.618438,5.973353,17.021763,8.13362,13.183235,-1.245813,9.00307,4.027646,c0
3.037846,-0.038819,3.32275,6.538804,-7.141611,-17.350045,-2.131954,9.909713,11.148572,-3.240557,-3.465341,18.709016,4.71625,24.471076,2.747985,-12.065131,1.526638,0.799592,-11.35043,-6.147725,0.956938,2.67768,-0.404325,4.69745,5.201668,9.474848,2.428327,-10.143992,7.310952,7.016853,c1
-10.892077,3.366071,-0.82327,-11.848726,-31.012223,-1.256909,22.08756,-1.812655,-10.361934,1.073705,11.030507,-3.837898,10.032962,6.429806,-13.138407,12.043012,0.235618,-5.351097,10.767237,-3.432397,-17.963932,-1.49296,-8.837885,-6.601597,10.865,-5.790242,9.076915,-4.074168,1.867289,-7.473696,c0
3.968252,14.986975,5.677629,24.064418,-0.125773,4.822088,-5.207591,-9.437288,9.081025,-4.550029,-7.72935,2.238701,-2.724249,-1.929636,0.349701,6.492527,8.23943,0.119879,3.978691,22.470908,1.766537,-12.078782,1.449834,1.527217,4.460021,-11.02406,1.895803,9.2492,1.986001,1.975821,c1
-5.755547,-8.223646,-5.640078,4.567277,3.077387,15.375789,9.493974,-0.950871,-7.752707,-2.625958,-0.846145,-12.715564,-2.017486,5.279649,3.604383,-6.749455,5.590269,-7.230309,3.395353,0.000294,2.987504,6.570132,1.814246,-5.493356,1.26647,2.822427,8.419505,-7.379948,6.38083,-3.286148,c1
0.297273,-9.764555,-7.412555,1.548237,-0.288331,-6.623184,4.643823,-5.233888,-1.682007,4.891859,7.304991,2.062887,4.467361,5.956719,8.476028,-8.277048,0.593503,-6.734381,8.810802,13.585488,4.163633,-11.375057,0.420997,-12.449475,12.360269,-6.787955,-4.424131,17.317452,2.969298,7.824943,c1
-5.052846,1.694967,0.62368,5.220674,0.25576,12.988412,-4.494983,15.445968,-1.928034,-14.067023,4.496076,-4.365791,2.627401,-15.106585,6.016755,2.952691,-11.177341,10.673187,7.477261,12.306682,-0.527936,16.099278,0.355994,2.463038,6.01248,9.277148,-1.615994,1.237522,4.700817,10.413094,c1
4.675416,12.475048,0.62728,2.927528,7.020438,-26.01189,10.329041,8.057557,-2.378979,2.667239,8.128848,17.473932,4.623279,-15.826952,0.266997,-4.101293,4.576933,-14.648354,0.066412,9.653731,0.010679,6.694294,-1.469086,-7.998697,3.350856,-7.263634,-2.093365,11.180131,2.396184,-6.192434,c1
7.608503,5.326869,1.807972,5.593952,1.86943,4.782756,1.97166,-14.301661,0.883601,7.28935,8.75525,8.576944,14.841159,11.54963,5.508025,-5.048313,5.291512,-4.081426,-1.253281,-3.609792,-4.335723,2.484054,-3.18827,-8.831613,-3.291918,8.139139,0.538334,7.132946,-9.249699,-0.054499,c1
-5.856967,-2.657815,4.593505,-0.266422,1.077941,-0.799056,10.445202,-11.204751,-8.653258,-2.539926,-6.758765,2.391433,0.988086,-0.713508,-9.131953,6.734661,-10.844529,5.729185,2.852792,-3.172268,4.675453,-8.055779,6.507725,-2.09026,-3.647874,6.756588,8.281021,-3.203977,-21.345618,2.893075,c0
-3.43036,-4.826738,8.66347,0.832536,-0.446382,-4.01448,-3.458137,5.224375,-3.571498,-1.729622,1.986818,16.207668,2.77118,-9.63643,-3.72151,5.250872,3.177366,-24.066085,7.808516,-14.956887,5.458205,-5.674335,-1.413361,6.396799,3.71396,-12.24981,3.390488,7.384246,4.740604,-3.518079,c1
0.840403,1.506812,2.25536,-4.612195,6.172422,-6.061605,8.644985,5.263877,6.599848,5.073835,2.671249,-1.106683,-0.667576,-5.318817,0.143842,14.068244,1.881068,13.816108,5.296762,-8.950181,-1.541204,3.070886,8.783029,-12.890951,-2.912521,21.76694,-4.920511,2.681194,-1.860112,10.688552,c1
13.505538,-6.970024,10.200868,4.523738,16.013568,6.772086,3.146124,21.27005,-0.934992,0.77517,0.448894,14.565212,4.857485,-10.445283,-5.414151,-1.838082,-0.756564,1.502491,4.960683,13.12769,1.042227,-15.482873,4.679571,14.536879,-2.602503,1.353081,7.002055,-4.935026,-2.154505,3.158629,c1
-0.018132,4.405779,2.617338,2.699195,12.046238,12.466501,2.462652,11.37982,2.878514,-2.265545,0.344623,-1.66139,7.06062,-1.316192,-3.938402,8.745574,6.565487,-13.586514,-2.573427,3.365754,4.90347,18.805995,-3.031767,0.805801,-8.950017,-1.785213,0.861857,-1.997697,-0.590865,-11.240908,c1
-0.205389,0.921899,1.516141,8.483557,-4.925794,-5.036926,-2.518891,14.700296,12.340458,-1.237786,-5.349627,-5.631148,-1.528817,0.848385,0.243967,30.46491,3.304961,-6.015605,1.952871,-5.797978,0.396169,0.669279,3.042592,9.776568,2.915609,-4.934712,-0.40664,5.738276,0.700833,2.462594,c1
18.990068,-1.561136,-0.111453,1.737307,-6.615416,2.207743,-5.848292,5.378225,-3.190394,11.126914,2.675796,-1.420111,12.997948,-0.02611,-0.312686,1.510177,1.169266,-3.201995,1.111475,-1.512111,-10.507279,-1.94131,18.442001,8.489329,-5.596704,-0.721119,10.519465,6.635853,-16.958786,0.219987,c0
9.007207,3.034574,25.15529,7.191872,-19.427574,-8.151962,9.487423,3.411973,15.027697,0.55593,6.812253,-12.443858,-10.681382,1.427316,3.615336,-4.50786,-2.742277,1.728191,-0.872826,-5.174256,-5.978295,-1.771486,0.475538,0.062041,20.450749,6.565312,-6.808013,3.861194,8.02737,0.784506,c0
-1.100737,-3.914689,1.000772,-12.69842,2.592413,-0.482488,1.472009,3.621541,-0.256167,4.636909,-3.536407,-1.983477,-3.292829,10.483188,-0.932522,-4.679741,3.280696,11.92833,0.059655,-4.297854,12.253104,5.238732,4.307927,2.049474,2.037928,10.404565,-5.572928,-18.33179,6.772675,1.995326,c1
