@relation D50_k02_N10000-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P50.0

@attribute X0 numeric
@attribute X1 numeric
@attribute X2 numeric
@attribute X3 numeric
@attribute X4 numeric
@attribute X5 numeric
@attribute X6 numeric
@attribute X7 numeric
@attribute X8 numeric
@attribute X9 numeric
@attribute X10 numeric
@attribute X11 numeric
@attribute X12 numeric
@attribute X13 numeric
@attribute X14 numeric
@attribute X15 numeric
@attribute X16 numeric
@attribute X17 numeric
@attribute X18 numeric
@attribute X19 numeric
@attribute X20 numeric
@attribute X21 numeric
@attribute X22 numeric
@attribute X23 numeric
@attribute X24 numeric
@attribute X25 numeric
@attribute X26 numeric
@attribute X27 numeric
@attribute X28 numeric
@attribute X29 numeric
@attribute X30 numeric
@attribute X31 numeric
@attribute X32 numeric
@attribute X33 numeric
@attribute X34 numeric
@attribute X35 numeric
@attribute X36 numeric
@attribute X37 numeric
@attribute X38 numeric
@attribute X39 numeric
@attribute X40 numeric
@attribute X41 numeric
@attribute X42 numeric
@attribute X43 numeric
@attribute X44 numeric
@attribute X45 numeric
@attribute X46 numeric
@attribute X47 numeric
@attribute X48 numeric
@attribute X49 numeric
@attribute class {c0,c1}

@data
10.278908,19.544126,-21.96628,58.165522,8.880974,22.286599,-12.263956,-20.035775,3.94488,-23.932186,-21.243683,-5.102624,-20.553951,32.823146,12.498303,-34.931364,2.455443,-0.902496,4.215887,4.071237,18.828553,-20.538874,8.401478,-15.105424,-11.121914,-12.941877,-16.614722,-7.38356,12.279609,11.694646,2.155159,-3.262555,-8.962585,-10.639925,-3.982258,6.347666,-3.378214,-20.137196,13.520917,-18.241384,7.165431,10.114619,-1.671687,4.562874,3.270144,6.661581,-5.146796,20.767291,2.805118,24.922094,c1
-20.58231,-14.848861,-24.242511,0.824326,1.633531,9.741525,11.004463,-5.574737,14.602342,2.78814,19.240803,7.812353,16.696894,-5.433665,6.966732,-6.755683,29.442101,5.371714,-7.707056,0.420187,-0.175291,-9.768638,16.082691,0.138506,-14.237088,1.47061,23.782203,10.297068,-32.121451,24.243599,-21.590171,8.347991,-15.837058,-5.085889,18.206454,1.429324,12.616472,5.082854,-17.008934,-4.616357,12.154634,1.979091,1.365187,11.445326,2.302463,-7.651872,-13.563537,13.584836,-6.707918,13.817486,c0
8.684904,30.255054,4.643856,-14.979233,-6.513401,5.11629,5.030053,-3.238497,5.037978,-2.301436,4.125853,2.327008,-15.379504,22.766409,-8.425919,-2.01881,-10.488246,41.64494,3.588339,-12.326514,-5.62251,3.755734,13.300365,11.540412,24.685236,29.148274,3.365185,3.311369,-0.242824,-2.427646,11.246498,-17.403758,17.378909,27.853234,8.01091,-14.155915,15.484052,36.151127,6.378503,-0.811558,-14.103397,19.884956,9.271593,-7.136143,-4.561585,-13.015641,1.417721,-5.054303,2.501965,-16.901325,c1
3.025214,11.087096,-9.943786,4.990747,-14.962675,-19.363005,22.835983,6.563939,19.97682,0.515585,-11.492051,14.591985,-16.392491,-9.058762,-0.770985,7.145321,47.124033,-8.174787,17.804873,13.77603,-14.499069,3.647137,55.643974,11.410728,4.116822,-9.087988,31.009047,3.755633,-15.767085,1.752546,45.340028,18.988082,24.217548,11.009332,17.402075,21.097533,22.708232,-8.348763,-15.067762,-9.20693,-3.705327,6.712043,15.061732,4.292136,-0.381198,-4.947468,10.092998,-9.684241,5.500305,10.852999,c0
-18.366197,-42.254928,-11.091962,-22.155424,-11.855591,12.28174,-10.875281,0.952847,6.800445,50.979522,-4.287064,24.689735,0.297878,-0.367361,-7.884737,-5.505545,-7.363775,-29.372712,17.612015,15.912053,2.662691,-2.310158,6.431688,1.340508,-1.59412,4.027526,6.703194,-26.998513,31.00364,-21.840957,-5.981649,25.266236,-4.272725,23.566205,-4.695244,11.76531,-6.516074,19.556089,2.756101,32.616717,-5.38858,8.020116,-4.097576,-10.161847,2.02656,27.651814,7.848203,-12.173676,11.228407,23.410065,c1
6.795206,-2.190966,14.394787,-7.993205,-3.548717,25.736826,-9.432912,11.93924,6.270552,8.19051,13.057926,-5.378156,-0.06083,5.865356,4.90628,6.071023,11.296922,-8.407957,3.443576,23.485549,1.937574,8.799762,-6.603005,-3.222652,-8.468993,-14.713948,-9.847926,-5.97512,-9.644469,34.945904,-3.304575,9.943003,-12.329534,12.988107,-5.898559,10.478385,14.804113,12.363934,-3.427117,1.255694,-4.435601,26.724754,3.545374,-32.769986,-1.341006,37.904012,4.055462,0.795598,0.423552,9.094524,c1
2.085972,-5.141003,15.32517,-9.670028,26.33672,6.190497,23.941123,-5.180814,10.944478,-0.672882,-26.703692,-15.574276,7.233277,-4.81521,-6.101136,-11.95199,5.816515,2.217628,-8.623296,14.634754,26.293247,-5.365447,-19.108908,2.503443,37.112838,-12.808725,-14.315518,-8.555664,-10.745226,21.641518,15.028943,-3.569474,18.130567,-3.085163,19.504109,-6.137068,14.531181,7.012865,-21.62262,-6.509398,15.233204,8.54777,-9.197569,-1.864265,6.20163,10.568203,0.913945,-10.159973,-13.593548,-2.424933,c0
22.17757,-47.287202,9.52851,-4.838006,5.417363,-64.009501,-4.187829,-11.87148,3.502151,-10.794437,1.36618,-8.716121,-0.691306,8.961798,6.449456,-23.347627,3.304125,29.126568,2.507795,5.1453,5.960256,10.465691,6.263625,13.276685,-3.291631,-15.065554,8.183046,-18.872648,3.242134,12.921022,-5.987934,-31.487506,2.231551,4.101812,4.975111,-2.421446,0.868741,-11.460439,-18.237609,-38.203301,36.276233,15.316461,17.783871,27.159579,-4.448843,-30.864198,8.73524,32.344286,12.055438,-23.116128,c1
12.177174,-3.828333,8.018522,-4.231194,-8.360045,-3.485896,24.350975,-2.889912,-35.0128,-11.996754,6.03344,-2.530357,0.712681,-15.487077,-9.313559,21.106539,-13.109645,8.692417,34.519861,-19.380562,16.983538,9.310238,3.327167,-5.765119,1.756944,-11.233564,6.629325,13.407154,3.819437,13.332238,-11.342041,-2.630094,-10.589556,4.28465,12.806467,-15.122992,9.016058,0.228211,-30.22572,-11.856146,37.354675,3.797776,9.000425,24.519657,33.928864,17.847842,-11.105917,-3.068847,-43.946282,-5.063581,c0
2.047963,0.215525,13.170692,-1.731771,-3.140047,-5.220676,-12.325001,4.740515,-6.459607,13.517246,1.83771,-3.077051,-6.283595,2.338584,39.358757,-0.979518,9.959594,7.257808,-13.352272,-2.220288,-9.415478,1.09406,-31.129376,2.647364,19.534959,19.509378,-38.577186,3.731398,-15.682867,-4.67778,6.645105,-9.794619,4.949727,-10.017848,-31.847056,-11.428365,18.88436,3.925244,15.848329,-13.780278,33.171311,7.03092,-8.935452,-13.312157,-9.8,1.316759,-4.086663,-7.075269,-22.255858,4.647706,c0
